year,sunflower_obs,anemone_obs,effort_index,norm_weight,period
2008,25,3,8.333333333333334,2.6666666666666665,Before SWD
2009,18,4,4.5,2,Before SWD
2010,24,7,3.4285714285714284,1.1428571428571428,Before SWD
2011,40,2,20,4,Before SWD
2012,44,7,6.285714285714286,1.1428571428571428,Before SWD
2013,61,3,20.333333333333332,2.6666666666666665,During SWD
2014,48,8,6,1,During SWD
2015,42,8,5.25,1,During SWD
2016,44,9,4.888888888888889,0.8888888888888888,During SWD
2017,71,16,4.4375,0.5,During SWD
2018,60,15,4,0.5333333333333333,After SWD
2019,50,25,2,0.32,After SWD
2020,147,36,4.083333333333333,0.2222222222222222,After SWD
2021,455,38,11.973684210526315,0.21052631578947367,After SWD
2022,466,53,8.79245283018868,0.1509433962264151,After SWD
